#WORD	ANIMATE	INANIMATE	MALE	FEMALE	NEUTRAL	SINGULAR	PLURAL
改革	0	0	0	0	0	57	0
许元和	1	0	0	0	0	1	0
谢启大	5	0	0	0	0	5	0
蒋	2	0	0	0	0	3	0
文忠容	1	0	0	0	0	1	0
麦格赛赛	0	0	0	0	0	1	0
死难者	0	0	0	0	0	1	0
凝聚力	0	0	0	0	0	1	0
产值率	0	0	0	0	0	2	0
西班牙	0	21	0	0	0	21	0
米雷	1	0	0	1	0	1	0
蒙	1	0	0	1	0	1	0
弗吉尼亚	9	36	1	0	0	36	9
盟国	1	1	1	0	0	2	1
牛奶	0	0	0	0	0	2	0
流向	0	0	0	0	0	2	0
卡斯	2	0	0	0	0	2	0
小穗	13	0	2	12	0	13	0
８点１５分	0	0	0	0	0	1	0
板缝	0	0	0	0	0	1	0
iq	0	4	0	0	0	4	0
屠宰场	0	0	0	0	0	2	0
王贯仁	4	0	0	0	0	4	0
苦味	0	0	0	0	0	1	0
细仔	0	2	0	0	0	2	0
负担	0	0	0	0	0	4	0
smash	3	3	0	0	0	3	0
白俄罗斯	0	1	0	0	0	1	1
教堂	0	0	0	0	0	1	0
输出	0	0	0	0	0	2	0
压锭	0	0	0	0	0	1	0
午餐会	0	0	0	0	0	2	0
叱吒	0	0	0	0	0	1	0
blue	0	1	0	0	0	1	0
场馆	0	0	0	0	0	3	0
练兵	0	0	0	0	0	2	0
xi	1	1	0	0	0	1	0
队员	7	0	3	4	0	16	7
进行	0	0	0	0	0	7	0
虚弱	0	0	0	0	0	1	0
省份	0	1	0	0	0	7	0
蝼	0	0	0	0	0	1	0
标段	0	0	0	0	0	6	0
统一	0	1	0	0	0	21	0
unameme	0	0	0	0	0	1	0
部署	0	0	0	0	0	2	0
草药	0	0	0	0	0	3	0
领事	3	0	1	3	0	3	0
南昌	0	6	0	0	0	6	0
连云港	0	3	0	0	0	3	0
一伙	1	0	1	0	0	1	1
贩婴案	0	0	0	0	0	2	0
日落	0	0	0	0	0	2	0
曼谷	0	3	0	0	0	3	0
被害人	17	0	11	5	0	47	0
被告	2	1	2	0	0	3	0
苗丽县	0	1	0	0	0	1	0
阿齐兹	6	0	5	0	0	6	0
松动	0	0	0	0	0	1	0
通胀	0	0	0	0	0	4	0
杜勒斯	2	2	0	0	0	2	0
本岛	0	1	0	0	0	1	0
大使馆	0	0	0	0	0	12	1
本地人	1	0	0	1	0	1	1
信贷	0	0	0	0	0	10	0
石广生	5	0	4	0	0	5	0
巴格达	0	20	0	0	0	20	0
巴勒斯坦人	3	2	3	0	0	13	5
仿制品	0	0	0	0	0	1	0
神灵	1	0	1	0	0	1	0
上下	0	1	0	0	0	1	0
当局	15	39	15	0	0	70	13
卡兰达	0	0	0	0	0	1	0
悬挂	0	0	0	0	0	1	0
遣返	0	0	0	0	0	1	0
川西	0	9	0	0	0	9	0
晶片	0	0	0	0	0	2	0
法律	0	0	0	0	0	17	0
意图	0	0	0	0	0	1	0
归大堆	0	0	0	0	0	2	0
穆罕默德·胡斯尼·穆巴拉克	1	0	0	0	0	1	0
拉孔丁克	1	0	0	0	0	1	0
裕仁	2	0	0	0	0	2	0
准则	0	0	0	0	0	2	0
科技	2	10	0	0	0	68	2
政客	1	0	1	0	0	1	1
农地	0	0	0	0	0	1	0
下下	0	0	0	0	0	1	0
卡比拉	8	0	0	0	0	8	0
显示	0	0	0	0	0	1	0
叶迪生	3	0	0	0	0	3	0
park	0	2	0	0	0	2	0
皇帝	0	1	0	0	0	2	0
空中	0	0	0	0	0	2	0
江丙坤	1	0	0	0	0	1	0
李家同	1	0	0	0	0	1	0
埃及	0	16	0	0	0	16	0
行径	1	0	1	0	0	3	0
浦东	0	27	0	0	0	29	0
大庆	0	13	0	0	0	13	0
北港	0	2	0	0	0	2	0
受困	0	0	0	0	0	1	0
文化	0	2	0	0	0	46	0
秘勤局	0	2	0	0	0	0	0
兵将	0	0	0	0	0	2	0
犯人	0	0	0	0	0	2	0
二○○○年	0	0	0	0	0	3	0
北海市	0	1	0	0	0	1	0
一九九０年	0	0	0	0	0	9	5
军魂	0	0	0	0	0	3	0
检察官	5	0	2	0	0	13	2
ｆｄａ	0	3	0	0	0	6	0
蟾	0	0	0	0	0	6	0
大卫·马丁利	1	0	0	0	0	1	0
硬杀	0	0	0	0	0	2	0
进出口	0	2	0	0	0	14	0
传播界	0	0	0	0	0	2	0
发言	0	0	0	0	0	5	0
地方	4	30	0	3	0	76	4
数量	0	0	0	0	0	7	0
娱乐圈	0	0	0	0	0	8	0
喜剧	0	0	0	0	0	2	0
流动	0	0	0	0	0	2	0
投石问路	0	0	0	0	0	2	0
上书	0	0	0	0	0	0	0
中国籍	0	0	0	0	0	1	0
逃生舱	0	0	0	0	0	2	0
建材	0	0	0	0	0	3	0
泰山	0	0	0	0	0	2	0
正务官	1	0	1	0	0	1	0
庞特	2	0	0	0	0	2	0
奥委会	0	5	0	0	0	1	0
饭菜	0	0	0	0	0	2	0
班汉	1	0	0	0	0	1	0
太空站	0	0	0	0	0	7	0
犯下	0	0	0	0	0	1	0
召集人	2	0	0	0	0	7	0
张文英	2	0	0	0	0	2	0
使馆	0	6	0	0	0	8	0
台北	53	133	5	0	0	134	5
斗六	0	3	0	0	0	3	0
车队	0	0	0	0	0	7	0
滤波带	0	0	0	0	0	2	0
副委员长	4	0	0	0	0	4	0
获益	0	0	0	0	0	0	0
情形	0	0	0	0	0	6	0
总局长	1	0	0	0	0	1	0
未成年人	0	0	0	0	0	4	0
湛江	0	2	0	0	0	2	2
限价	0	0	0	0	0	2	0
大强	1	0	1	0	0	1	0
唐家璇	5	0	3	0	0	5	0
票源	0	0	0	0	0	1	0
国民	2	4	0	0	0	7	2
冰淇淋	0	0	0	0	0	1	0
声明书	0	0	0	0	0	1	0
手法	0	0	0	0	0	2	0
三亚	0	4	0	0	0	4	0
北海	0	3	0	0	0	3	0
存废	0	0	0	0	0	2	0
河砾层	0	0	0	0	0	2	0
记名	0	0	0	0	0	2	0
唐雅君	4	0	0	2	0	4	0
制裁	0	0	0	0	0	12	0
关岛	0	10	0	0	0	10	0
建构	0	0	0	0	0	3	0
珠海	0	8	0	0	0	8	0
赢家	0	0	0	0	0	2	0
不久	0	0	0	0	0	3	0
邓振中	2	0	0	0	0	2	0
盟友	2	4	2	0	0	6	2
卫队	0	2	0	0	0	3	1
喀瑞斯	1	0	0	1	0	1	0
理查德＊尼克松	3	0	3	0	0	3	0
s3	0	0	0	0	0	1	0
解读	0	0	0	0	0	2	0
台南	0	6	0	0	0	6	0
邀请	0	0	0	0	0	25	0
一修	1	0	0	0	0	1	0
采矿数	0	0	0	0	0	0	0
衡山	0	1	0	0	0	1	0
研究者	0	0	0	0	0	2	0
董事会	1	0	1	0	0	3	1
议员	3	0	1	0	0	8	1
融	0	0	0	0	0	1	0
锻炼	0	0	0	0	0	2	0
政局	0	0	0	0	0	4	0
随身听	0	0	0	0	0	1	0
１９５７年	0	0	0	0	0	1	0
参访	0	0	0	0	0	2	0
新人	4	0	4	0	0	18	4
经理人	1	0	1	0	0	3	1
参赞	3	0	0	0	0	3	0
阿公	7	0	0	0	0	7	0
江苏人	1	0	0	0	0	1	1
巴廖尼	3	0	3	0	0	3	0
史前	1	0	1	0	0	2	1
后代	0	0	0	0	0	2	0
自然	0	0	0	0	0	2	0
故宫	0	4	0	0	0	4	0
遗迹	0	0	0	0	0	2	0
同伙	0	0	0	0	0	2	0
钢筋工	0	0	0	0	0	1	0
克雷洛夫	1	0	0	0	0	1	0
西三奇北	0	0	0	0	0	1	0
暴民	0	0	0	0	0	2	0
目前	0	0	0	0	0	350	0
雨花石	0	6	0	0	0	8	0
维勒贝克	2	0	2	0	0	2	0
陪都	0	0	0	0	0	2	0
陛下	1	0	0	0	0	1	0
祖父	5	0	5	0	0	10	0
１９５９年	0	0	0	0	0	1	0
管理所	0	2	0	0	0	0	0
汪家（廖去广加金旁）	1	0	0	0	0	1	0
开放	0	0	0	0	0	112	0
口吻	0	0	0	0	0	2	0
促进	0	0	0	0	0	1	0
卧虎藏龙	0	0	0	0	0	2	0
抗战	0	0	0	0	0	2	0
句号	0	0	0	0	0	2	0
盆地	0	5	0	0	0	5	0
虎	0	0	0	0	0	5	0
笔者	5	0	0	0	0	7	0
部级	0	0	0	0	0	0	0
开支	0	0	0	0	0	2	0
名著	0	0	0	0	0	2	0
同伴	0	0	0	0	0	3	0
季度	0	0	0	0	0	8	0
外环线	0	0	0	0	0	1	0
江河	0	6	0	0	0	6	0
呼盟	0	0	0	0	0	4	0
声明	0	0	0	0	0	58	0
撰稿人	1	0	0	1	0	1	0
陈翠英	1	0	0	0	0	1	0
友谊	0	0	0	0	0	14	0
轰炸弹	0	0	0	0	0	1	0
磁带	0	0	0	0	0	1	0
经济圈	0	0	0	0	0	2	0
乔治＊ｗ＊布什．	1	0	1	0	0	1	0
交流会	0	0	0	0	0	2	0
圣德尼	0	1	0	0	0	1	0
抓手	0	0	0	0	0	1	0
演唱	0	0	0	0	0	0	0
观光业	0	4	0	0	0	4	0
拉宾	2	0	0	0	0	1	1
造纸	0	0	0	0	0	2	0
百分点	0	0	0	0	0	20	0
发行量	0	0	0	0	0	4	0
社会	0	1	0	0	0	89	2
赖心仪	2	0	2	0	0	2	0
太阳板	1	0	1	0	0	1	1
影城	0	0	0	0	0	1	0
宣言	0	0	0	0	0	10	0
停机坪	0	0	0	0	0	1	0
辖区	1	0	1	0	0	2	1
外援队	0	0	0	0	0	2	0
学府	0	1	0	0	0	1	0
较量	0	0	0	0	0	2	0
曹冠和	2	0	0	0	0	2	0
污油	0	0	0	0	0	1	0
法庭	0	10	0	0	0	56	5
名作	0	0	0	0	0	1	0
派出	0	0	0	0	0	1	0
相关	0	0	0	0	0	1	0
恶梦	0	0	0	0	0	3	0
开销	0	0	0	0	0	2	0
车头	0	0	0	0	0	2	0
李瑞环	7	0	5	0	0	7	0
酷哥	0	0	0	0	0	2	0
教长	2	0	2	0	0	2	0
哈利里	2	0	0	0	0	2	0
王小姝	5	0	0	5	0	5	0
国泰	0	1	0	0	0	1	0
卷门	0	0	0	0	0	1	0
贝弗利	0	0	0	0	0	5	0
车夫	1	0	1	0	0	1	0
主干事	0	0	0	0	0	2	0
新京报	4	4	0	0	0	12	4
通知书	0	0	0	0	0	1	0
手段	0	0	0	0	0	8	0
一事	0	0	0	0	0	1	0
班次	0	0	0	0	0	2	0
教委	4	0	4	0	0	4	0
宇航员	4	0	0	0	0	11	0
张玉燕	3	0	0	0	0	3	0
词儿	0	0	0	0	0	1	0
汤姆·克鲁索	1	0	1	0	0	1	0
核四厂	0	1	0	0	0	4	0
故居	0	0	0	0	0	2	0
喇嘛	12	0	12	0	0	12	0
蛋	0	0	0	0	0	2	0
同仁	1	0	1	0	0	5	1
七九	0	0	0	0	0	1	0
识别	0	0	0	0	0	1	0
派别	0	0	0	0	0	1	0
新作	0	0	0	0	0	1	0
蛇	6	0	0	5	0	35	0
运行	0	0	0	0	0	4	0
斯·埃万	0	0	0	0	0	1	0
主席国	0	1	0	0	0	3	0
阳历	0	0	0	0	0	3	0
荣耀	0	1	0	0	0	4	0
党建	0	0	0	0	0	2	0
妓院	0	0	0	0	0	3	0
捕渔船	0	0	0	0	0	1	0
武警	0	0	0	0	0	2	0
活力	0	0	0	0	0	7	0
斗鸡眼	0	0	0	0	0	2	0
合作	0	0	0	0	0	183	11
危险	0	0	0	0	0	2	0
活动	0	0	0	0	0	100	4
供应链	0	0	0	0	0	2	0
九二一	0	0	0	0	0	9	0
精进	0	0	0	0	0	2	0
巴尔科斯	28	20	13	13	0	23	13
安德烈·莫鲁耶夫	1	0	0	0	0	1	0
zt	0	0	0	0	5	5	0
ebay	6	6	0	0	6	6	0
裁决	0	0	0	0	0	10	0
李仲生	3	0	0	0	0	3	0
古斯达夫	1	0	0	0	0	1	0
旅行	0	0	0	0	0	6	0
台湾人	3	5	0	0	0	22	3
礼仪	0	0	0	0	0	1	0
朱虹	3	0	3	0	0	3	0
结余	0	0	0	0	0	2	0
李洪志	7	0	4	0	0	7	0
七五	0	0	0	0	0	4	4
蚁	0	0	0	0	0	2	0
刑警队	1	1	0	0	0	1	1
工程系	0	1	0	0	0	0	0
默哀	0	0	0	0	0	1	0
代表队	1	0	1	0	0	3	1
福利院	0	7	0	0	0	0	0
西餐	0	0	0	0	0	2	0
陈元	7	0	6	0	0	7	0
语言	0	0	0	0	0	14	0
中村	6	0	6	0	0	6	0
海关	0	9	0	0	0	17	0
经销	0	0	0	0	0	1	0
扬雄	1	0	0	0	0	1	0
理财界	0	0	0	0	0	1	0
纲领	0	0	0	0	0	3	0
善后	0	0	0	0	0	2	0
白人	1	0	0	0	0	1	0
干预	0	0	0	0	0	7	0
交通台	1	2	0	0	0	1	1
意识	0	0	0	0	0	5	0
法轮功	7	54	7	0	0	26	7
先令	0	0	0	0	0	1	0
感觉	0	0	0	0	0	4	0
陈德福	2	0	0	0	0	2	0
集装箱	0	0	0	0	0	6	0
师大	0	5	0	0	0	0	0
科系	0	0	0	0	0	2	0
张荣	1	0	1	0	0	1	0
进展号	0	0	0	0	0	2	0
坡地	0	0	0	0	0	2	0
院校	0	0	0	0	0	2	0
奋斗	0	0	0	0	0	2	0
志工	0	1	0	0	0	1	0
纳塞尔·ｓ·犹德	1	0	1	0	0	1	0
低谷	0	0	0	0	0	1	0
牌坊	0	0	0	0	0	1	0
格瑞塔·莱得奥特	1	0	0	1	0	1	0
题	0	0	0	0	0	1	0
嫌犯	53	5	48	0	0	73	23
昨晚	0	0	0	0	0	6	0
额	0	0	0	0	0	6	0
颜	0	0	0	0	0	2	0
断电	0	0	0	0	0	1	0
张莉	2	0	0	2	0	2	0
博士后	0	0	0	0	0	0	0
每日镜报	0	0	0	0	0	3	0
巷子	0	0	0	0	0	1	0
下半年	0	0	0	0	0	2	0
商家	0	0	0	0	0	5	0
７月份	0	0	0	0	0	2	2
祖父母	0	0	0	0	0	2	0
茶事	0	0	0	0	0	2	0
混委会	0	0	0	0	0	2	0
今后	0	0	0	0	0	15	0
知府	1	0	0	0	0	1	0
苏玉麒	1	0	0	0	0	1	0
教育部	0	5	0	0	0	0	0
荣毅仁	9	0	9	0	0	9	0
习惯	0	0	0	0	0	6	0
市公所	0	4	0	0	0	4	0
发言人	17	0	10	0	0	37	0
心态	0	0	0	0	0	1	0
中期	0	0	0	0	0	8	0
安宁	0	0	0	0	0	2	0
财产	0	0	0	0	0	10	2
综合	0	0	0	0	0	1	0
海防法	0	0	0	0	0	4	0
读物	0	1	0	0	0	1	0
收获	0	0	0	0	0	2	0
老头儿	1	0	1	0	0	1	0
京城	0	1	0	0	0	1	0
职权	0	0	0	0	0	16	0
货主	0	0	0	0	0	2	0
许常惠	2	0	0	0	0	2	0
西夏	0	0	0	0	0	3	0
流域	0	29	0	0	0	29	0
蒙特利尔市	0	2	0	0	0	2	0
ｗｗｗ．ｃｏｍｐｌｅｔｅｗｅｌｌｎｅｓｓａｐｐｒｏａｃｈ．ｃｏｍ	0	0	0	0	0	2	0
毛江森	2	0	0	0	0	2	0
喜	0	0	0	0	0	2	0
主体性	0	0	0	0	0	6	0
吴伟群	2	0	2	0	0	2	0
孙黛云	1	0	0	1	0	1	0
山齐拓	2	0	0	0	0	1	1
风	0	0	0	0	0	5	0
南韩	0	18	0	0	0	18	0
英国	3	66	0	0	0	70	0
外汇	0	0	0	0	0	5	0
安定	0	0	0	0	0	4	0
白丹	1	0	1	0	0	1	0
马悦然	4	0	2	0	0	4	0
资财	0	0	0	0	0	3	0
曙光	0	0	0	0	0	2	0
委员	5	2	1	1	0	26	2
小泉纯一郎	4	0	2	0	0	4	0
难题	0	0	0	0	0	3	0
梵蒂冈	3	27	3	0	0	27	3
特利	7	0	0	7	0	7	0
布莱尔	9	0	3	0	0	9	0
平衡	1	1	1	0	0	5	1
特赦	0	0	0	0	0	2	0
西天	0	0	0	0	0	2	0
卡塔尔	0	10	0	0	0	10	0
项目部	0	2	0	0	0	0	0
女性	9	1	0	7	0	16	8
敦化北路	0	0	0	0	0	1	0
上次	0	0	0	0	0	1	0
绿卡	0	0	0	0	0	3	0
凌高山	0	2	0	0	0	2	0
集子	0	0	0	0	0	4	0
诞生	0	0	0	0	0	6	0
拖弋伞	0	0	0	0	0	1	0
伊夫·特兰屈	2	0	2	0	0	2	0
十七	0	0	0	0	0	2	0
真相	0	0	0	0	0	2	0
撤军	0	0	0	0	0	4	0
酒友	0	0	0	0	0	1	0
索赔	0	0	0	0	0	1	0
侨胞	0	0	0	0	0	15	0
定价法	0	0	0	0	0	5	0
啊	1	0	1	0	0	2	0
一汽	0	14	0	0	0	14	0
渔船	0	0	0	0	0	9	0
大楼	0	1	0	0	0	15	0
家园	0	8	0	0	0	10	0
萨瓦蒂尼	4	0	0	0	0	4	0
测验	1	0	1	0	0	3	0
桃园市	0	2	0	0	0	2	0
都市	0	1	0	0	0	1	0
阿母	0	0	0	0	0	2	0
事实	0	0	0	0	0	11	0
事宜	0	0	0	0	0	2	0
歌舞团	0	2	0	0	0	0	0
震区	0	0	0	0	0	2	0
新疆	0	12	0	0	0	12	0
项	0	0	0	0	0	3	0
撞击	0	0	0	0	0	1	0
装饰店	0	0	0	0	0	2	0
页	0	0	0	0	0	1	0
蒋正信	5	0	0	0	0	5	0
吃药	0	0	0	0	0	1	0
符号	0	0	0	0	0	2	0
夏沃	2	0	0	2	0	2	0
王正良	1	0	1	0	0	1	0
remeliik	1	0	0	0	0	1	0
欧文	2	0	0	0	0	2	0
素质	0	0	0	0	0	4	0
允许	0	0	0	0	0	1	0
肯定	0	0	0	0	0	10	0
乔治·ｗ·布什	11	0	3	0	0	11	0
追索	0	0	0	0	0	2	0
重油	0	0	0	0	0	2	0
香港	2	264	1	1	0	265	2
后舱	0	0	0	0	0	1	0
比莉	2	0	0	0	0	2	0
切尔诺梅尔金	4	0	0	0	0	4	0
遗物	0	0	0	0	0	1	0
特刊	0	0	0	0	0	2	0
唐	1	0	0	0	0	1	0
对于	0	0	0	0	0	1	0
交通厅	0	14	0	0	0	4	0
涉事	0	0	0	0	0	1	0
依存度	0	0	0	0	0	2	0
良机	0	0	0	0	0	2	0
团旗	0	0	0	0	0	2	0
我本身	3	0	0	0	0	3	0
伴敏彦	2	0	0	0	0	2	0
车辆	0	0	0	0	0	5	0
８７年	0	0	0	0	0	1	0
姓名	0	0	0	0	0	2	0
防治	0	0	0	0	0	2	0
法新社	0	1	0	0	0	1	0
以列	1	1	0	0	0	1	1
哥	4	0	3	0	0	7	0
心愿	0	0	0	0	0	6	0
香油	0	0	0	0	0	1	0
男生	3	0	3	0	0	6	1
周一圈	2	0	2	0	0	2	0
酒吧	0	1	0	0	1	3	0
核算	0	0	0	0	0	2	0
帕特＊罗伯森	1	0	1	0	0	1	0
考点	0	0	0	0	0	2	0
火车站	0	0	0	0	0	6	0
九八年	0	0	0	0	0	6	0
驾驭人	1	0	0	0	0	1	0
韦里格纳	1	0	1	0	0	1	0
ａｄｍｉｎｉｓｔｒａｔｉｏｎ	0	0	0	0	0	1	0
消费额	0	0	0	0	0	2	0
编制	0	0	0	0	0	1	0
芭芙＊科贝	1	0	0	1	0	1	0
缆车	0	0	0	0	0	4	0
品	0	0	0	0	0	2	2
圣荷赛	0	0	0	0	0	2	0
馆	0	0	0	0	0	4	0
张生	10	0	10	0	0	10	0
做法	0	0	0	0	0	10	0
结婚	0	0	0	0	0	2	0
尔雅	0	1	0	0	0	0	0
纪录	0	0	0	0	0	18	0
双极紊乱症	0	0	0	0	0	2	0
ｃａｌｉｆｏｒｎｉａ	0	1	0	0	0	1	0
七九年	0	0	0	0	0	1	0
芳心	0	0	0	0	0	1	0
章子	0	0	0	0	0	2	0
首	0	0	0	0	0	18	0
阳泉	0	3	0	0	0	3	0
物品	0	0	0	0	0	5	1
幕僚	0	0	0	0	0	2	0
防卫网	0	0	0	0	0	1	0
代表团	17	39	17	0	0	41	15
能力	0	0	0	0	0	50	0
闪电	0	0	0	0	0	2	0
才智	0	0	0	0	0	1	0
招商	0	0	0	0	0	2	0
坍塌	0	0	0	0	0	0	0
中校	3	0	3	0	0	3	0
同胞	10	4	0	1	0	27	8
内蒙古	0	0	0	0	0	2	0
托收	0	0	0	0	0	0	0
九六年	0	0	0	0	0	5	0
工序	0	0	0	0	0	2	2
于不凡	4	0	0	0	0	4	0
咱	3	0	0	0	0	3	0
诺福克港	0	0	0	0	0	0	0
专款	0	0	0	0	0	2	0
蝇头小字	0	0	0	0	0	1	0
羊群	0	0	0	0	0	2	2
柯林纳斯	0	2	0	0	0	2	0
紧跟	0	0	0	0	0	1	0
将领	0	0	0	0	0	6	0
莱德斯马	1	0	0	0	0	1	0
布面	0	0	0	0	0	1	0
贺辞	0	0	0	0	0	2	0
质量	0	0	0	0	0	4	0
和	7	2	1	0	0	12	11
日内瓦	0	4	0	0	0	4	0
回族	1	0	1	0	0	0	1
瓦·隆巴多	1	0	0	0	0	1	0
节数	0	0	0	0	0	2	0
何景贤	4	0	4	0	0	4	0
森喜朗	18	0	8	0	0	18	0
水污染	0	0	0	0	0	6	0
回收率	0	0	0	0	0	3	0
时段	0	0	0	0	0	3	0
北卡	0	2	0	0	0	2	0
张曼玉	3	0	0	3	0	3	0
心肌梗塞	0	0	0	0	0	2	0
车速	0	0	0	0	0	1	0
报导	0	0	0	0	0	7	0
市面	0	0	0	0	0	1	0
各自	0	1	0	0	0	4	0
个案	0	0	0	0	0	1	0
聪明人	0	0	0	0	0	1	0
恐怖	0	0	0	0	0	10	0
防水	0	0	0	0	0	1	0
师院	0	1	0	0	0	0	0
以军	0	8	0	0	0	12	0
呢	0	0	0	0	0	2	0
教练	2	0	2	0	0	2	0
股市	0	5	0	0	0	27	0
发行	0	0	0	0	0	3	0
大桥	0	0	0	0	0	3	0
抑郁	0	0	0	0	0	1	0
巴沙尔阿萨德	1	0	1	0	0	1	0
法文	0	0	0	0	0	1	0
命	0	0	0	0	0	4	0
血统	0	0	0	0	0	2	0
旅游者	0	0	0	0	0	2	0
中村植秀	1	0	1	0	0	1	0
计算	0	0	0	0	0	4	0
轨迹	0	0	0	0	0	2	0
军舰	0	0	0	0	0	9	0
告	0	0	0	0	0	1	0
黑道	0	0	0	0	0	1	0
参议员	15	0	8	0	0	20	2
呃	1	0	1	0	0	1	0
特区	0	41	0	0	0	60	0
张璞	2	0	0	0	0	2	0
呆	0	0	0	0	0	1	0
防汛	0	0	0	0	0	2	0
比例	0	0	0	0	0	14	2
心情	0	0	0	0	0	8	3
总统府	0	18	0	0	0	20	0
呐	1	0	1	0	0	1	0
草丛	0	0	0	0	0	2	0
都发局	0	2	0	0	0	0	0
艺术	9	0	0	9	0	89	0
饭	0	0	0	0	0	2	0
蟾蜍	0	0	0	0	0	5	0
压力源	0	0	0	0	0	2	0
驻军	0	4	0	0	0	6	0
鹰影	0	0	0	0	0	1	0
海军	2	11	2	0	0	7	2
吧	0	0	0	0	0	0	0
回收	0	0	0	0	0	2	0
情报局	0	2	0	0	0	0	0
那里	6	38	0	0	0	82	3
３点３０分	0	0	0	0	0	1	0
吾	0	0	0	0	0	2	0
饼	0	0	0	0	0	2	0
先例	0	0	0	0	0	1	0
养鸡场	0	0	0	0	0	2	0
饿	0	0	0	0	0	2	0
冲绳	0	6	0	0	0	8	0
血缘	0	0	0	0	0	2	0
蔡咪咪	1	0	0	0	0	1	1
贴近	0	0	0	0	0	3	0
巴拿马	0	7	0	0	0	7	0
情况	0	0	0	0	0	76	0
交大	0	7	0	0	0	2	0
吴	13	0	13	0	0	13	10
雕塑	0	0	0	0	0	1	0
菁英	0	0	0	0	0	1	0
名	1	0	1	0	0	8	0
企业	14	10	14	0	0	715	17
同	2	2	0	0	0	13	4
轨道	0	0	0	0	0	6	0
性命	1	0	1	0	0	2	1
健康机	2	0	2	0	0	2	0
追逐赛	0	0	0	0	0	2	0
吉	0	5	0	0	0	6	0
合	0	0	0	0	0	2	0
星期	0	0	0	0	0	39	0
胸口	0	0	0	0	0	6	0
各	0	0	0	0	0	0	0
科林纳斯	0	3	0	0	0	3	0
转运	0	0	0	0	0	1	0
吃	1	0	1	0	0	1	0
节日	0	0	0	0	0	7	0
价位	0	0	0	0	0	2	0
埔里	0	24	0	0	0	24	0
罗伯茨	1	0	0	0	0	1	0
ｈａｙｅｓ	0	0	0	0	0	1	0
南非	0	7	0	0	0	7	0
极端方	0	0	0	0	0	1	0
君	0	0	0	0	0	2	0
王涛	4	0	2	0	0	4	0
傍晚	0	0	0	0	0	1	0
阶段	0	0	0	0	0	26	0
向	1	0	1	0	0	3	0
手枪	0	0	0	0	0	2	0
视为	1	0	1	0	0	0	1
出海口	0	0	0	0	0	2	0
清晰度	0	0	0	0	0	4	0
赤诚	0	0	0	0	0	2	0
货币制	0	0	0	0	0	2	0
能量	0	0	0	0	0	2	0
祝贺	0	0	0	0	0	2	0
广西	0	12	0	0	0	12	0
书店	1	2	1	0	0	6	1
资格赛	0	0	0	0	0	2	0
壳牌	0	0	0	0	0	2	0
骂	0	0	0	0	0	0	0
城	0	4	0	0	0	12	0
圣岳	4	4	0	4	0	4	0
中文	0	0	0	0	0	5	0
组合屋	0	5	0	0	0	5	0
道理	0	0	0	0	0	2	0
二姐	1	0	1	0	0	1	0
侵略者	0	0	0	0	0	2	0
预赛	0	0	0	0	0	11	0
阿瓦齐县	0	2	0	0	0	2	0
火车	0	0	0	0	0	10	0
卡赞采夫	2	0	0	0	0	2	0
医疗费	0	0	0	0	0	4	0
ｎｏｓｐｒａｗｌｔａｘ	1	0	1	0	0	1	1
尊严	0	0	0	0	0	2	2
九寨沟	0	2	0	0	0	2	0
台茂	0	1	0	0	0	1	0
富士山	5	5	0	5	0	5	0
信用部	0	0	0	0	0	1	0
陈建仁	3	0	0	0	0	3	0
二姨	1	0	0	1	0	1	0
洋山	0	2	0	0	0	3	0
人员	34	0	33	0	0	134	28
燃料	0	0	0	0	0	11	0
货值	0	0	0	0	0	2	0
大水	0	0	0	0	0	1	0
指导老师	1	0	1	0	0	1	0
安德烈·阿布杜瓦利耶夫	1	0	0	0	0	1	0
文艺奖	0	0	0	0	0	2	0
方便面	0	0	0	0	0	3	0
高	0	2	0	0	1	4	0
许惠佑	1	0	0	0	0	1	0
公寓·康诺利	1	0	0	0	0	1	0
特使	7	0	3	0	0	9	0
高雄市	0	33	0	0	0	31	0
市政府	0	5	0	0	0	4	0
型	0	0	0	0	0	0	0
三月份	0	0	0	0	0	2	0
男性们	2	0	2	0	0	2	2
董彦生	1	0	1	0	0	1	0
传递	0	0	0	0	0	0	0
贿选	0	0	0	0	0	2	0
运营	0	0	0	0	0	2	0
飞船	0	0	0	0	0	43	0
朝鲜	0	14	0	0	0	14	1
构造	0	0	0	0	0	2	2
指挥部	0	2	0	0	0	0	0
高德柱	1	0	0	0	0	1	0
梁永华	1	0	1	0	0	1	0
过渡期	0	0	0	0	0	3	0
智库	0	0	0	0	0	2	0
码头	0	0	0	0	0	22	0
老爷	2	0	2	0	0	4	0
wto	0	4	0	0	4	4	0
老爸	2	0	1	0	0	2	0
大气	0	0	0	0	0	2	0
一九四零年	0	0	0	0	0	4	0
曹语凡	2	0	0	0	0	2	0
严明	0	0	0	0	0	4	0
决策	0	0	0	0	0	4	0
困扰	0	0	0	0	0	6	0
瑞典	0	19	0	0	0	19	0
孙玉玺	2	0	1	0	0	2	0
财政局	0	2	0	0	0	0	0
埃斯特拉达	105	0	87	0	0	105	0
贝克	8	0	8	0	0	8	0
贾治邦	1	0	0	0	0	1	0
纪念	0	0	0	0	0	1	0
志愿军	4	0	0	0	0	5	4
喜讯	0	0	0	0	0	3	0
客家庄	0	3	0	0	0	7	0
赖昌兴	16	0	14	0	0	16	0
